rocks,total missed,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12
Opal,330,13,7,7,1,10,2,2,10,0,8,10,1,7,5,6,0,0,2,1,0,6,0,0,0,1,1,0,5,1,0,1,0,2,1,0,3,1,2,2,3,3,1,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,6,4,1,1,0,2,1,2,0,0,0,1,1,0,1,1,1,2,1,0,1,2,1,2,0,1,0,1,0,2,0,24,5,20,2,1,1,0,2,3,0,1,0,2,0,0,3,1,0,0,0,1,0,0,1,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,3,5,1,6,5,1,18,4,7,2,2,3,1,13,3,1,2,1,1,1,3,2
Biotite,326,28,31,4,2,10,4,14,24,1,2,1,0,1,3,0,0,1,2,3,3,3,0,0,2,1,0,0,3,4,0,2,0,2,0,1,1,3,1,0,2,1,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,3,2,0,3,0,0,0,2,0,0,1,0,1,0,1,3,1,2,0,3,3,0,2,0,0,0,1,0,0,1,1,14,3,7,0,0,0,1,2,4,1,1,1,1,0,0,2,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,1,1,2,2,0,2,15,1,3,0,2,3,4,0,11,5,4,1,4,0,2,8,7
Chalk,321,22,8,4,2,9,1,2,3,0,0,1,1,0,1,0,1,0,1,0,5,0,1,0,0,1,2,0,4,0,1,0,1,0,0,0,0,4,2,2,0,1,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,1,0,0,1,1,2,0,0,0,2,1,1,0,3,4,1,0,2,3,1,5,1,1,2,0,0,0,1,1,25,8,13,0,2,0,0,1,2,3,1,1,1,1,1,1,1,0,0,0,1,0,0,5,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,2,0,2,0,4,1,0,0,0,1,0,2,1,2,1,4,0,0,0,4,16,3,15,4,0,2,2,1,3,3,5,8,5,2,5,14,4,3,4
Oolite,311,32,17,8,6,0,0,0,4,0,3,4,5,0,1,1,0,0,3,0,0,1,2,1,0,2,0,1,1,5,2,1,1,0,0,0,2,1,1,2,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,2,0,1,0,0,0,0,0,0,1,2,5,2,0,2,4,0,3,0,0,0,1,0,0,1,0,13,13,12,0,3,0,2,2,6,14,0,3,3,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,1,2,1,4,3,0,8,9,1,6,3,3,1,1,7,6,3,3,1,6,4,1,3
Satin Spar,302,18,7,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,2,1,0,4,3,1,0,0,0,0,0,0,4,1,0,4,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,8,0,2,1,0,0,1,0,0,1,0,1,0,0,3,2,3,0,0,1,1,3,1,0,0,0,0,0,0,0,20,7,10,4,1,1,2,2,1,4,0,0,2,0,0,1,1,0,0,0,0,0,2,0,3,1,1,1,0,0,1,0,0,0,0,0,1,1,2,1,1,0,1,1,1,0,0,2,2,2,0,1,5,2,0,5,1,0,0,3,19,1,8,1,3,1,0,0,9,2,12,9,21,2,8,6,2,2,3
Pumice,294,12,7,1,2,5,0,1,5,0,3,11,3,3,9,1,0,1,0,0,0,2,1,3,0,4,0,1,0,0,2,0,2,0,0,0,0,2,1,0,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,2,4,0,0,4,1,2,1,0,0,1,1,0,0,0,2,23,6,7,0,3,0,3,2,0,2,0,1,0,0,0,0,0,1,0,1,0,0,1,1,4,2,1,3,0,0,2,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,4,7,0,0,1,0,0,4,10,2,7,11,11,8,0,3,1,2,8,4,4,0,5,4,0,2,5
Ulexite,289,8,24,5,13,2,2,1,11,1,9,1,5,5,1,3,0,0,0,0,1,0,5,0,0,2,0,0,0,1,1,0,0,0,1,0,3,4,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,4,1,0,2,5,0,0,0,1,0,2,0,5,3,0,0,1,2,0,5,1,0,0,0,0,0,1,2,24,6,7,2,2,0,0,1,0,2,1,5,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0,5,0,1,0,0,0,0,2,3,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,7,11,3,4,6,0,1,4,2,0,4,5,1,1,0,3,2,3,2
Garnet Schist,288,8,5,2,3,0,0,1,1,0,2,2,0,0,0,1,0,0,0,0,0,2,0,2,0,5,0,0,1,3,1,1,0,1,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,6,0,0,0,1,1,1,0,0,0,2,0,0,0,3,1,1,2,3,1,0,2,2,0,0,0,0,0,0,1,23,7,3,0,0,0,0,0,9,1,0,4,6,2,0,2,0,0,0,0,1,2,0,1,4,0,3,0,0,0,1,0,2,0,0,0,0,0,1,0,0,3,0,0,3,0,0,2,1,0,1,1,0,5,0,6,0,1,0,2,13,0,2,16,4,4,1,1,4,1,22,1,5,2,12,7,9,2,5
Bauxite,283,7,7,1,4,3,1,4,16,1,12,1,7,0,5,12,0,0,0,5,1,0,6,1,0,3,1,1,1,0,5,0,0,2,0,0,4,1,1,1,6,0,2,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,2,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,2,0,2,1,0,1,0,0,0,16,9,3,0,0,0,0,2,3,1,0,1,5,1,1,0,0,0,0,1,1,1,1,0,2,0,2,1,0,0,1,1,0,1,0,0,0,0,2,0,1,0,1,5,2,1,0,0,1,0,0,1,2,5,0,3,2,3,0,0,1,2,9,3,0,0,0,2,1,0,17,0,5,0,2,2,2,1,3
Jasper,273,4,9,4,5,2,3,3,8,4,9,6,0,8,3,1,0,0,1,2,0,2,1,5,0,1,1,0,1,8,3,1,0,1,0,0,0,5,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,5,4,0,0,2,0,1,1,0,2,0,0,0,0,1,31,3,4,0,0,0,0,0,4,1,0,2,0,3,0,1,0,0,0,0,0,1,0,0,2,0,1,2,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,5,2,1,0,1,0,7,4,2,11,7,0,1,2,1,3,1,4,1,5,3,2,0,3,4,4
Tourmaline Group,266,14,16,5,4,2,1,3,7,0,0,1,2,0,1,3,2,0,1,1,0,1,0,3,0,0,1,0,2,1,0,1,0,0,0,0,0,8,0,6,1,0,1,0,1,0,0,0,0,4,1,1,0,0,0,0,1,1,0,3,0,1,0,0,1,2,0,0,1,0,0,3,0,2,3,3,0,1,0,1,2,0,0,0,0,0,0,0,0,29,3,7,0,0,1,1,0,4,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,4,0,0,1,2,7,2,6,0,4,5,1,4,0,6,3,6,1,13,6,0,3,7
Fossiliferous Limestone,266,7,3,4,5,1,0,0,4,0,0,0,0,2,2,1,1,0,2,1,0,1,5,2,0,1,0,0,0,2,2,0,0,0,0,1,0,8,0,5,2,3,4,1,4,0,0,0,2,4,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,2,0,0,0,2,6,1,0,4,2,8,0,1,0,0,1,1,1,0,1,0,0,2,0,18,11,8,0,0,1,0,0,2,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,3,0,1,0,0,1,5,10,6,1,13,4,1,0,1,2,2,12,2,11,0,1,4,6,1,4
Diamond,243,8,8,9,7,2,3,0,15,1,3,0,4,5,1,4,1,1,1,1,0,1,6,4,0,2,1,1,0,2,0,0,1,1,0,0,0,2,0,2,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,20,6,11,0,0,0,1,1,1,4,0,3,0,0,0,2,2,0,0,1,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,1,1,4,2,0,1,0,0,0,5,2,2,9,6,0,0,0,1,0,6,3,3,0,3,2,3,2,1
Staurolite,242,14,18,14,0,0,0,0,3,0,2,2,0,0,4,6,0,0,1,0,2,5,0,9,0,1,0,0,4,1,1,1,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,4,1,1,0,0,0,3,0,0,1,0,2,0,3,0,20,1,6,0,0,1,1,1,6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,1,1,3,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,0,0,2,1,3,0,0,0,0,0,0,2,5,11,2,3,0,1,0,3,6,11,1,1,1,4,2,1,1,4
Rhodonite,238,8,14,9,7,4,4,2,7,1,1,5,0,1,1,0,0,0,3,0,2,0,2,0,0,3,0,0,1,2,1,0,1,0,0,0,0,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,5,1,0,3,4,3,0,2,0,0,4,0,0,0,0,1,0,1,0,11,10,4,0,0,0,3,2,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,5,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,2,0,5,0,1,0,1,1,0,1,2,6,2,1,5,1,0,7,2,8,1,0,8,2,3,3,2,2
Arkose,236,5,1,2,1,0,1,0,2,0,5,2,0,0,0,0,0,0,1,0,1,0,0,1,0,4,1,1,3,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,2,0,0,0,0,0,5,1,1,2,1,1,0,2,1,1,1,0,1,1,0,0,0,2,1,31,10,6,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,3,0,6,1,3,19,2,3,0,0,3,4,6,24,4,0,7,1,5,2,1,2
Diorite,224,11,10,1,4,1,2,4,5,0,2,3,0,0,0,1,0,0,1,0,2,0,1,0,0,8,0,1,0,6,2,2,0,1,0,1,1,0,0,7,2,1,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,2,0,1,3,1,0,0,0,3,1,0,0,1,0,1,0,10,5,2,0,0,1,0,2,1,3,1,1,1,0,0,1,0,0,0,0,0,1,0,1,4,0,3,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,3,2,4,1,0,1,0,1,1,3,3,9,7,3,1,1,0,3,0,12,2,6,1,1,5,1,1,2
Sulfur,220,11,6,6,5,2,0,4,14,0,2,0,2,0,3,0,0,0,0,0,5,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,8,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,1,11,0,1,0,0,0,0,5,0,1,0,1,1,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,10,1,1,0,5,7,2,9,3,0,3,6,0,0,2,16,5,8,1,0,4,0,0,1
Agate,219,11,4,3,2,1,1,3,6,0,0,0,0,0,10,4,0,2,3,0,1,0,0,0,0,0,1,2,0,5,1,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,7,2,0,4,2,2,1,0,0,1,2,0,1,0,0,0,0,1,1,15,3,2,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,0,0,0,3,1,2,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,5,1,0,3,6,1,2,1,2,4,2,17,2,18,0,6,2,2,2,2
Silver,214,33,19,4,2,1,2,11,2,0,2,3,0,3,1,0,0,0,1,0,0,1,0,2,0,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,2,0,5,2,4,0,1,0,1,1,1,1,1,1,0,0,1,1,6,5,4,0,2,0,0,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,1,4,0,2,0,0,0,2,0,2,1,9,1,1,0,0,0,0,2,0,6,0,5,0,2,1,1,1,2
Obsidian,207,22,10,1,13,2,1,4,4,0,0,2,0,1,1,6,0,0,0,1,0,3,0,0,0,3,1,0,2,4,6,0,0,0,0,0,0,2,0,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,3,1,2,0,1,0,2,0,2,0,0,0,0,0,0,0,14,2,14,0,0,0,0,1,7,0,0,2,2,0,0,0,0,0,1,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,2,0,4,1,1,0,0,1,2,2,2,0,2,1,0,1,0,3,4,2,2,1,1,0,3,2
Amazonite,187,6,4,6,4,2,2,0,4,0,1,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,8,6,5,0,0,1,2,1,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,1,1,2,0,0,0,1,0,0,2,0,5,0,2,0,1,0,11,2,28,4,6,2,11,1,1,1,3
Copper,166,9,4,2,2,3,0,0,12,0,2,0,0,0,4,6,0,0,0,0,1,3,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,4,2,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,2,2,0,2,0,1,1,0,0,0,0,0,9,0,8,0,0,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,0,1,0,0,1,0,6,3,3,1,0,0,1,0,0,1,0,6,5,3,2,2,4,2,7,0
Olivine,157,4,4,1,4,3,4,4,31,0,7,4,1,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,2,5,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,7,1,1,0,1,3,0,6,0,7,0,11,0,0,0,6
Halite,153,5,13,2,2,3,0,1,11,0,4,8,0,2,0,2,0,0,0,0,0,2,0,2,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,1,0,1,0,0,1,1,0,1,0,5,1,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,1,1,1,1,0,1,0,0,2,1,1,2,1,2,0,0,1,0,1,14,0,2,0,2,0,7,2,1
Pyrite,142,8,2,4,5,0,1,4,2,0,1,0,0,0,2,0,0,0,2,2,0,6,1,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,2,0,0,0,0,0,0,0,4,2,2,0,1,0,1,0,0,0,0,0,1,0,1,0,5,9,2,0,0,0,1,0,3,1,0,1,4,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,1,0,0,2,0,2,0,1,1,3,1,2,1,3,4,2,2,0,3
Malachite,138,5,4,6,2,0,0,0,4,1,3,1,0,1,0,0,4,1,1,0,0,0,0,1,0,1,0,0,3,2,0,0,1,1,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,5,4,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,6,3,0,3,0,1,0,3,12,3,1,0,2,1,2,2,0
Rose Quartz,123,10,4,0,3,1,1,2,2,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,2,0,0,0,0,0,0,1,12,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0,3,4,0,0,0,2,1,1,8,1,16,0,1,0,0,2,1
Gold,119,10,8,3,4,0,1,1,4,2,1,4,0,0,3,4,0,0,0,0,2,1,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,1,2,1,4,1,0,0,0,0,1,0,4,0,7,0,4,2,1,0,1
Amethyst,77,5,6,0,3,1,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,2,0,1,0,0,1,0,0,2,0,0,0,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,1,2,2,0,4,0,1,0,2,0,1,1,1
